sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2024-02-16;;;44,98;44,98;44,98;44,98;44,98;1400;62972;5;
2024-02-15;;;45,02;45,48;45,02;45,28;45,244;24036;1087473,28;71;
2024-02-14;;;;;;46,60;;;;0;
2024-02-13;;;;;;46,60;;;;0;
2024-02-12;;;;;;46,60;;;;0;
2024-02-09;;;46,60;46,60;46,60;46,60;46,60;600;27960;1;
2024-02-08;;;;;;48,70;;;;0;
2024-02-07;;;;;;48,70;;;;0;
2024-02-06;;;;;;48,70;;;;0;
2024-02-05;;;;;;48,70;;;;0;
2024-02-02;;;;;;48,70;;;;0;
2024-02-01;;;;;;48,70;;;;0;
2024-01-31;;;;;;48,70;;;;0;
2024-01-30;;;;;;48,70;;;;0;
2024-01-29;;;48,70;48,70;48,70;48,70;48,70;600;29220;1;
2024-01-26;;;46,60;46,60;46,60;46,60;46,60;1400;65240;2;
2024-01-25;;;;;;47,80;;;;0;
2024-01-24;;;;;;47,80;;;;0;
2024-01-23;;;;;;47,80;;;;0;
2024-01-22;;;47,80;47,80;47,80;47,80;47,80;1000;47800;1;
2024-01-19;;;;;;46,66;;;;0;
2024-01-18;;;47,50;47,92;46,66;46,66;46,669;1210;56469,52;8;
2024-01-17;;;47,40;47,40;47,40;47,40;47,40;15;711;1;
2024-01-16;;;;;;47,00;;;;0;
2024-01-15;;;;;;47,00;;;;0;
2024-01-12;;;;;;47,00;;;;0;
2024-01-11;;;47,00;47,00;47,00;47,00;47,00;1000;47000;2;
2024-01-10;;;;;;47,70;;;;0;
2024-01-09;;;;;;47,70;;;;0;
2024-01-08;;;48,34;48,34;47,70;47,70;47,701;2548;121542,8;5;
2024-01-05;;;48,00;48,00;48,00;48,00;48,00;618;28886,13;2;
2024-01-04;;;48,14;48,14;48,14;48,14;48,14;5600;269584;15;
2024-01-03;;;;;;46,00;;;;0;
2024-01-02;;;;;;46,00;;;;0;
2023-12-29;;;;;;46,00;;;;0;
2023-12-28;;;;;;46,00;;;;0;
2023-12-27;;;44,92;46,00;44,92;46,00;45,453;5152;234174,28;7;
2023-12-22;46,50;;;;;44,68;;;;0;
2023-12-21;;;;;;44,68;;;;0;
2023-12-20;;;45,50;45,94;44,68;44,68;45,569;14590;653676,83;16;
2023-12-19;;;43,30;43,30;43,30;43,30;43,30;110;4763;1;
2023-12-18;;;41,72;41,72;41,72;41,72;41,72;2245;93661,4;3;
2023-12-15;;;;;;39,36;;;;0;
2023-12-14;;;39,36;39,36;39,36;39,36;39,36;669;26331,84;1;
2023-12-13;37,70;;37,30;38,64;37,30;38,64;38,212;7762;296600,34;14;
2023-12-12;;;35,66;35,84;35,66;35,84;35,69;167;5960,26;2;
